央视,#genre#
CCTV-1,https://epg.pw/api/tv/cctv/1.m3u8
CCTV-2,https://epg.pw/api/tv/cctv/2.m3u8
CCTV-3,https://epg.pw/api/tv/cctv/3.m3u8
CCTV-4,https://epg.pw/api/tv/cctv/4.m3u8
CCTV-5,https://epg.pw/api/tv/cctv/5.m3u8
CCTV-5+,https://epg.pw/api/tv/cctv/5+.m3u8
CCTV-6,https://epg.pw/api/tv/cctv/6.m3u8
CCTV-7,https://epg.pw/api/tv/cctv/7.m3u8
CCTV-8,https://epg.pw/api/tv/cctv/8.m3u8
CCTV-9,https://epg.pw/api/tv/cctv/9.m3u8
CCTV-10,https://epg.pw/api/tv/cctv/10.m3u8
CCTV-11,https://epg.pw/api/tv/cctv/11.m3u8
CCTV-12,https://epg.pw/api/tv/cctv/12.m3u8
CCTV-13,https://epg.pw/api/tv/cctv/13.m3u8
CCTV-14,https://epg.pw/api/tv/cctv/14.m3u8
CCTV-15,https://epg.pw/api/tv/cctv/15.m3u8
CCTV-16,https://epg.pw/api/tv/cctv/16.m3u8
CCTV-17,https://epg.pw/api/tv/cctv/17.m3u8
CGTN,https://epg.pw/api/tv/cctv/cgtn.m3u8

卫视,#genre#
湖南卫视,https://epg.pw/api/tv/satellite/hunan.m3u8
浙江卫视,https://epg.pw/api/tv/satellite/zhejiang.m3u8
江苏卫视,https://epg.pw/api/tv/satellite/jiangsu.m3u8
东方卫视,https://epg.pw/api/tv/satellite/dongfang.m3u8
北京卫视,https://epg.pw/api/tv/satellite/beijing.m3u8
广东卫视,https://epg.pw/api/tv/satellite/guangdong.m3u8
深圳卫视,https://epg.pw/api/tv/satellite/shenzhen.m3u8
山东卫视,https://epg.pw/api/tv/satellite/shandong.m3u8
安徽卫视,https://epg.pw/api/tv/satellite/anhui.m3u8
四川卫视,https://epg.pw/api/tv/satellite/sichuan.m3u8
河南卫视,https://epg.pw/api/tv/satellite/henan.m3u8
湖北卫视,https://epg.pw/api/tv/satellite/hubei.m3u8
重庆卫视,https://epg.pw/api/tv/satellite/chongqing.m3u8
东南卫视,https://epg.pw/api/tv/satellite/dongnan.m3u8
黑龙江卫视,https://epg.pw/api/tv/satellite/heilongjiang.m3u8
辽宁卫视,https://epg.pw/api/tv/satellite/liaoning.m3u8
吉林卫视,https://epg.pw/api/tv/satellite/jilin.m3u8
天津卫视,https://epg.pw/api/tv/satellite/tianjin.m3u8
河北卫视,https://epg.pw/api/tv/satellite/hebei.m3u8
山西卫视,https://epg.pw/api/tv/satellite/shanxi.m3u8
陕西卫视,https://epg.pw/api/tv/satellite/shanxii.m3u8
江西卫视,https://epg.pw/api/tv/satellite/jiangxi.m3u8
贵州卫视,https://epg.pw/api/tv/satellite/guizhou.m3u8
云南卫视,https://epg.pw/api/tv/satellite/yunnan.m3u8
甘肃卫视,https://epg.pw/api/tv/satellite/gansu.m3u8
青海卫视,https://epg.pw/api/tv/satellite/qinghai.m3u8
宁夏卫视,https://epg.pw/api/tv/satellite/ningxia.m3u8
内蒙古卫视,https://epg.pw/api/tv/satellite/neimenggu.m3u8
广西卫视,https://epg.pw/api/tv/satellite/guangxi.m3u8
新疆卫视,https://epg.pw/api/tv/satellite/xinjiang.m3u8
西藏卫视,https://epg.pw/api/tv/satellite/xizang.m3u8
海南卫视,https://epg.pw/api/tv/satellite/hainan.m3u8

地方台,#genre#
上海都市,https://epg.pw/api/tv/local/shanghai_dushi.m3u8
广东珠江,https://epg.pw/api/tv/local/guangdong_zhujiang.m3u8
深圳都市,https://epg.pw/api/tv/local/shenzhen_dushi.m3u8
浙江钱江,https://epg.pw/api/tv/local/zhejiang_qianjiang.m3u8
江苏城市,https://epg.pw/api/tv/local/jiangsu_chengshi.m3u8
山东齐鲁,https://epg.pw/api/tv/local/shandong_qilu.m3u8
四川经济,https://epg.pw/api/tv/local/sichuan_jingji.m3u8
湖北经视,https://epg.pw/api/tv/local/hubei_jingshi.m3u8
河南都市,https://epg.pw/api/tv/local/henan_dushi.m3u8
湖南经视,https://epg.pw/api/tv/local/hunan_jingshi.m3u8

影视,#genre#
CHC高清电影,https://epg.pw/api/tv/movie/chc_hd.m3u8
CHC家庭影院,https://epg.pw/api/tv/movie/chc_family.m3u8
CHC动作电影,https://epg.pw/api/tv/movie/chc_action.m3u8
CHC经典电影,https://epg.pw/api/tv/movie/chc_classic.m3u8
CHC科幻电影,https://epg.pw/api/tv/movie/chc_scifi.m3u8
CHC战争电影,https://epg.pw/api/tv/movie/chc_war.m3u8
CHC喜剧电影,https://epg.pw/api/tv/movie/chc_comedy.m3u8
CHC悬疑电影,https://epg.pw/api/tv/movie/chc_suspense.m3u8

体育,#genre#
央视体育,https://epg.pw/api/tv/sports/cctv5.m3u8
体育赛事,https://epg.pw/api/tv/sports/cctv5plus.m3u8
足球频道,https://epg.pw/api/tv/sports/football.m3u8
篮球频道,https://epg.pw/api/tv/sports/basketball.m3u8
高尔夫网球,https://epg.pw/api/tv/sports/golf.m3u8
赛车时代,https://epg.pw/api/tv/sports/racing.m3u8
